Uganda,Tanzania,Senegal,Nigeria,Rwanda,Mali,Benin,Togo,Algeria,Angola,Botswana,BurkinaFaso,Burundi,Cameroon,CentralAfricanRepublic,Chad,Comoros,RepublicoftheCongo,DemocraticRepublicoftheCongo,Djibouti,Egypt,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,SierraLeone,Somalia,SouthAfrica,SouthSudan,Sudan,Tunisia,Zambia,Zimbabwe
Jinja,Kilimanjaro,Sédhiou,Ebonyi,,,Plateau,,BordjBouArréridj,Luanda,North-East,Plateau-Central,Makamba,,Nana-Mambéré,LogoneOccidental,,Pool,Kongo-Central,,AlQahirah,Tigray,,,Savannah,,,Kakamega,,Montserrado,AzZawiyah,,Lilongwe,Tagant,SaintBrandon,Rabat-Salé-Zemmour-Zaer,Zambezia,Oshikoto,,,Mudug,,,RedSea,LeKef,,
Kabale,KusiniPemba,Tambacounda,Edo,,,Zou,,Bouira,LundaNorte,North-West,Sahel,Muramvya,,Ombella-M'Poko,LogoneOriental,,Sangha,Kwango,,AlQalyubiyah,,,,UpperEast,,,Kericho,,Nimba,Benghazi,,Machinga,TirisZemmour,Savanne,Souss-Massa-Draâ,,Otjozondjupa,,,Nugaal,,,RiverNile,Mahdia,,
Kabarole,KusiniUnguja,Thiès,Ekiti,,,,,Boumerdès,LundaSul,SelibePhikwe,Sud-Ouest,Muyinga,,Ouaka,Mandoul,,,Kwilu,,AlUqsur,,,,UpperWest,,,Kiambu,,RiverGee,Darnah,,Mangochi,Trarza,,Tadla-Azilal,,Zambezi,,,Sanaag,,,Sennar,Manubah,,
Kaberamaido,Lindi,Ziguinchor,Enugu,,,,,Chlef,Malanje,South-East,,Mwaro,,Ouham,Mayo-KebbiEst,,,Lomami,,AlWadialJadid,,,,Volta,,,Kilifi,,Rivercess,Ghat,,Mchinji,,,Tanger-Tétouan,,,,,ShabeellahaDhexe,,,SouthDarfur,Médenine,,
Kalangala,Manyara,,FederalCapitalTerritory,,,,,Constantine,Moxico,Southern,,Ngozi,,Ouham-Pendé,Mayo-KebbiOuest,,,Lualaba,,AsSuways,,,,Western,,,Kirinyaga,,Sinoe,Misratah,,Mulanje,,,Taza-AlHoceima-Taounate,,,,,ShabeellahaHoose,,,SouthKurdufan,Monastir,,
Kampala,Mara,,Gombe,,,,,Djelfa,Namibe,Sowa,,Rutana,,Sangha-Mbaéré,Moyen-Chari,,,Mai-Ndombe,,AshSharqiyah,,,,WesternNorth,,,Kisii,,,Murzuq,,Mwanza,,,,,,,,Sool,,,WestDarfur,Nabeul,,
Kamuli,Mbeya,,Imo,,,,,ElBayadh,Uíge,,,Ruyigi,,Vakaga,Ouaddaï,,,Maniema,,Aswan,,,,,,,Kisumu,,,Nalut,,Mzimba,,,,,,,,Togdheer,,,WestKurdufan,Sfax,,
Kamwenge,MjiniMagharibi,,Jigawa,,,,,ElOued,Zaire,,,,,,Salamat,,,Mongala,,Asyut,,,,,,,Kitui,,,Sabha,,Neno,,,,,,,,WoqooyiGalbeed,,,WhiteNile,SidiBouZid,,
Kanungu,Morogoro,,Kaduna,,,,,ElTarf,,,,,,,Sila,,,Nord-Kivu,,BaniSuwayf,,,,,,,Kwale,,,Surt,,NkhataBay,,,,,,,,,,,,Siliana,,
Kapchorwa,Mtwara,,Kano,,,,,Ghardaïa,,,,,,,Tandjilé,,,Nord-Ubangi,,BurSa`id,,,,,,,Laikipia,,,Tripoli,,Nkhotakota,,,,,,,,,,,,Sousse,,
Kasese,Mwanza,,Katsina,,,,,Guelma,,,,,,,Tibesti,,,Sankuru,,Dumyat,,,,,,,Lamu,,,WadialHayat,,Nsanje,,,,,,,,,,,,Tataouine,,
Katakwi,Njombe,,Kebbi,,,,,Illizi,,,,,,,VilledeN'Djamena,,,Sud-Kivu,,JanubSina',,,,,,,Machakos,,,WadiashShati',,Ntcheu,,,,,,,,,,,,Tozeur,,
Kayunga,Pwani,,Kogi,,,,,Jijel,,,,,,,WadiFira,,,Sud-Ubangi,,KafrashShaykh,,,,,,,Makueni,,,,,Ntchisi,,,,,,,,,,,,Tunis,,
Kibale,Rukwa,,Kwara,,,,,Khenchela,,,,,,,,,,Tanganyika,,Matrouh,,,,,,,Mandera,,,,,Phalombe,,,,,,,,,,,,Zaghouan,,
Kiboga,Ruvuma,,Lagos,,,,,Laghouat,,,,,,,,,,Tshopo,,Qina,,,,,,,Marsabit,,,,,Rumphi,,,,,,,,,,,,,,
Kisoro,Shinyanga,,Nasarawa,,,,,M'Sila,,,,,,,,,,Tshuapa,,ShamalSina',,,,,,,Meru,,,,,Salima,,,,,,,,,,,,,,
Kitgum,Simiyu,,Niger,,,,,Mascara,,,,,,,,,,,,Suhaj,,,,,,,Migori,,,,,Thyolo,,,,,,,,,,,,,,
Kotido,Singida,,Ogun,,,,,Médéa,,,,,,,,,,,,,,,,,,,Mombasa,,,,,Zomba,,,,,,,,,,,,,,
Kumi,Songwe,,Ondo,,,,,Mila,,,,,,,,,,,,,,,,,,,Murang'a,,,,,,,,,,,,,,,,,,,
Kyenjojo,Tabora,,Osun,,,,,Mostaganem,,,,,,,,,,,,,,,,,,,Nairobi,,,,,,,,,,,,,,,,,,,
LakeAlbert,Tanga,,Oyo,,,,,Naâma,,,,,,,,,,,,,,,,,,,Nakuru,,,,,,,,,,,,,,,,,,,
LakeVictoria,,,Plateau,,,,,Oran,,,,,,,,,,,,,,,,,,,Nandi,,,,,,,,,,,,,,,,,,,
Lira,,,Rivers,,,,,Ouargla,,,,,,,,,,,,,,,,,,,Narok,,,,,,,,,,,,,,,,,,,
Luwero,,,Sokoto,,,,,OumelBouaghi,,,,,,,,,,,,,,,,,,,Nyamira,,,,,,,,,,,,,,,,,,,
Masaka,,,Taraba,,,,,Relizane,,,,,,,,,,,,,,,,,,,Nyandarua,,,,,,,,,,,,,,,,,,,
Masindi,,,Yobe,,,,,Saïda,,,,,,,,,,,,,,,,,,,Nyeri,,,,,,,,,,,,,,,,,,,
Mayuge,,,Zamfara,,,,,Sétif,,,,,,,,,,,,,,,,,,,Samburu,,,,,,,,,,,,,,,,,,,
Mbale,,,,,,,,SidiBelAbbès,,,,,,,,,,,,,,,,,,,Siaya,,,,,,,,,,,,,,,,,,,
Mbarara,,,,,,,,Skikda,,,,,,,,,,,,,,,,,,,TaitaTaveta,,,,,,,,,,,,,,,,,,,
Moroto,,,,,,,,SoukAhras,,,,,,,,,,,,,,,,,,,TanaRiver,,,,,,,,,,,,,,,,,,,
Moyo,,,,,,,,Tamanghasset,,,,,,,,,,,,,,,,,,,Tharaka-Nithi,,,,,,,,,,,,,,,,,,,
Mpigi,,,,,,,,Tébessa,,,,,,,,,,,,,,,,,,,TransNzoia,,,,,,,,,,,,,,,,,,,
Mubende,,,,,,,,Tiaret,,,,,,,,,,,,,,,,,,,Turkana,,,,,,,,,,,,,,,,,,,
Mukono,,,,,,,,Tindouf,,,,,,,,,,,,,,,,,,,UasinGishu,,,,,,,,,,,,,,,,,,,
Nakapiripirit,,,,,,,,Tipaza,,,,,,,,,,,,,,,,,,,Vihiga,,,,,,,,,,,,,,,,,,,
Nakasongola,,,,,,,,Tissemsilt,,,,,,,,,,,,,,,,,,,Wajir,,,,,,,,,,,,,,,,,,,
Nebbi,,,,,,,,TiziOuzou,,,,,,,,,,,,,,,,,,,WestPokot,,,,,,,,,,,,,,,,,,,
Ntungamo,,,,,,,,Tlemcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pallisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rukungiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sembabule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sironko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soroti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tororo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
